Unité,Titre (AR),Titre (FR),Dial.,Pers.,Texte Arabe,Phonétique,Traduction
5,الطعام والشراب,Nourriture,5.1,قاسم,أَيْنَ تَذْهَبُ يَا سَالِمُ ؟,Ayna tadh-habu yā Sālim?,Où vas-tu Salim ?
5,الطعام والشراب,Nourriture,5.1,سالم,إِلَى الْمَطْعَمِ,Ilā l-maṭʿam,Au restaurant.
5,الطعام والشراب,Nourriture,5.1,قاسم,كَمْ وَجْبَةً تَأْكُلُ فِي الْيَوْمِ ؟,Kam wajbatan ta'kulu fī l-yawm?,Combien de repas manges-tu par jour ?
5,الطعام والشراب,Nourriture,5.1,سالم,آكُلُ ثَلاثَ وَجَبَات: الْفَطُورَ وَالْغَدَاءَ وَالْعَشَاءَ,Ākulu thalātha wajabāt: al-faṭūr wa l-ghadā' wa l-ʿashā',"Je mange trois repas : le petit-déjeuner, le déjeuner et le dîner."
5,الطعام والشراب,Nourriture,5.1,قاسم,هَذَا كَثِيرٌ جِدّاً. أَنَا آكُلُ وَجْبَةً وَاحِدَةً,Hādhā kathīrun jiddan. Ana ākulu wajbatan wāḥidah,"C'est beaucoup. Moi, je mange un seul repas."
5,الطعام والشراب,Nourriture,5.1,سالم,هَذَا قَلِيلٌ جِدّاً,Hādhā qalīlun jiddan,C'est très peu.
5,الطعام والشراب,Nourriture,5.1,قاسم,مَاذَا تَأْكُلُ فِي الْغَدَاءِ ؟,Mādhā ta'kulu fī l-ghadā'?,Que manges-tu au déjeuner ?
5,الطعام والشراب,Nourriture,5.1,سالم,آكُلُ الأَرُزَّ وَالْخُبْزَ. وَمَاذَا تَأْكُلُ أَنْتَ ؟,Ākulu l-aruzza wa l-khubz. Wa mādhā ta'kulu anta?,Je mange du riz et du pain. Et que manges-tu toi ?
5,الطعام والشراب,Nourriture,5.1,قاسم,آكُلُ السَّمَكَ وَالسَّلَطَةَ وَالْفَاكِهَةَ,Ākulu s-samaka wa s-salaṭata wa l-fākihah,"Je mange du poisson, de la salade et des fruits."
5,الطعام والشراب,Nourriture,5.1,سالم,مَا وَزْنُكَ ؟,Mā waznuka?,Quel est ton poids ?
